OWB,0000000011111111
PAE,0000000100000000
PAH,0000000100000001
PBG,0000000100000010
PBI,0000000100000011
PDX,0000000100000100
PGD,0000000100000101
PGV,0000000100000110
PHF,0000000100000111
PHL,0000000100001000
PHX,0000000100001001
PIA,0000000100001010
PIB,0000000100001011
PIE,0000000100001100
PIH,0000000100001101
PIR,0000000100001110
PIT,0000000100001111
PLN,0000000100010000
PNS,0000000100010001
PPG,0000000100010010
PQI,0000000100010011
PRC,0000000100010100
PSC,0000000100010101
PSE,0000000100010110
PSG,0000000100010111
PSM,0000000100011000
PSP,0000000100011001
PUB,0000000100011010
PUW,0000000100011011
PVD,0000000100011100
PVU,0000000100011101
PWM,0000000100011110
RAP,0000000100011111
RDD,0000000100100000
RDM,0000000100100001
RDU,0000000100100010
RFD,0000000100100011
RHI,0000000100100100
RIC,0000000100100101
RIW,0000000100100110
RKS,0000000100100111
RNO,0000000100101000
ROA,0000000100101001
ROC,0000000100101010
ROW,0000000100101011
RST,0000000100101100
RSW,0000000100101101
SAF,0000000100101110
SAN,0000000100101111
SAT,0000000100110000
SAV,0000000100110001
SBA,0000000100110010
SBN,0000000100110011
SBP,0000000100110100
SBY,0000000100110101
SCC,0000000100110110
SCE,0000000100110111
SCK,0000000100111000
SDF,0000000100111001
SEA,0000000100111010
SFB,0000000100111011
SFO,0000000100111100
SGF,0000000100111101
SGU,0000000100111110
SHD,0000000100111111
SHR,0000000101000000
SHV,0000000101000001
SIT,0000000101000010
SJC,0000000101000011
SJT,0000000101000100
SJU,0000000101000101
SLC,0000000101000110
SLN,0000000101000111
SMF,0000000101001000
SMX,0000000101001001
SNA,0000000101001010
SPI,0000000101001011
SPN,0000000101001100
SPS,0000000101001101
SRQ,0000000101001110
STC,0000000101001111
STL,0000000101010000
STS,0000000101010001
STT,0000000101010010
STX,0000000101010011
SUN,0000000101010100
SUX,0000000101010101
SWF,0000000101010110
SWO,0000000101010111
SYR,0000000101011000
TBN,0000000101011001
TLH,0000000101011010
TOL,0000000101011011
TPA,0000000101011100
TRI,0000000101011101
TTN,0000000101011110
TUL,0000000101011111
TUS,0000000101100000
TVC,0000000101100001
TWF,0000000101100010
TXK,0000000101100011
TYR,0000000101100100
TYS,0000000101100101
USA,0000000101100110
VCT,0000000101100111
VEL,0000000101101000
VLD,0000000101101001
VPS,0000000101101010
WRG,0000000101101011
XNA,0000000101101100
XWA,0000000101101101
YAK,0000000101101110
YKM,0000000101101111
YUM,0000000101110000
