Airline ID,Departure,Destination
2Z,SJP,RAO
2Z,SSA,BRA
2Z,SSA,VDC
2Z,UBA,GRU
2Z,UBA,UDI
2Z,UDI,GRU
2Z,UDI,GYN
2Z,UDI,RAO
2Z,UDI,UBA
2Z,VDC,GRU
2Z,VDC,SSA
3E,BRL,ORD
3E,BRL,STL
3E,DEC,ORD
3E,DEC,STL
3E,JBR,STL
3E,ORD,BRL
3E,ORD,DEC
3E,STL,BRL
3E,STL,DEC
3E,STL,JBR
3F,CGA,HYL
3F,CGA,KTN
3F,HYL,CGA
3F,HYL,KTB
3F,HYL,KTN
3F,KTB,HYL
3F,KTB,KTN
3F,KTN,CGA
3F,KTN,HYL
3F,KTN,KTB
3F,KTN,MTM
3F,MTM,KTN
3G,ACC,DKR
3G,ACC,LOS
3G,ACC,ROB
3G,BCN,BJL
3G,BJL,BCN
3G,BJL,DKR
3G,BJL,FNA
3G,CKY,OXB
3G,DKR,ACC
3G,DKR,BJL
3G,DKR,DLA
3G,DKR,FNA
3G,DKR,LOS
3G,DKR,OXB
3G,DLA,DKR
3G,DLA,LOS
3G,FNA,BJL
3G,FNA,DKR
3G,FNA,LGW
3G,FNA,ROB
3G,LGW,FNA
3G,LOS,ACC
3G,LOS,DKR
3G,LOS,DLA
3G,LOS,ROB
3G,OXB,CKY
3G,OXB,DKR
3G,ROB,ACC
3G,ROB,FNA
3G,ROB,LOS
3H,AKV,YIK
3H,AKV,YPX
3H,XGR,YVP
3H,YGL,YGW
3H,YGL,YPX
3H,YGL,YUL
3H,YGW,YGL
3H,YGW,YPH
3H,YGW,YSK
3H,YGW,YUD
3H,YGW,YUL
3H,YGW,YUY
3H,YIK,AKV
3H,YIK,YZG
3H,YKG,YPJ
3H,YKG,YQC
3H,YKG,YVP
3H,YKL,YQB
3H,YKL,YVP
3H,YKL,YWK
3H,YKL,YZV
3H,YPH,YPX
3H,YPH,YUD
3H,YPH,YVP
3H,YPJ,YKG
3H,YPJ,YTQ
3H,YPJ,YVP
3H,YPX,AKV
3H,YPX,YGL
3H,YPX,YPH
3H,YPX,YVP
3H,YQB,YKL
3H,YQB,YUL
3H,YQC,YKG
3H,YQC,YWB
3H,YSK,YGW
3H,YSK,YUD
3H,YTQ,YPJ
3H,YTQ,YVP
3H,YUD,YGW
3H,YUD,YPH
3H,YUD,YSK
3H,YUL,YGL
3H,YUL,YGW
3H,YUL,YQB
3H,YUL,YUY
3H,YUY,YGW
3H,YUY,YUL
3H,YVP,XGR
3H,YVP,YGW
3H,YVP,YKG
3H,YVP,YKL
3H,YVP,YPH
3H,YVP,YPJ
3H,YVP,YPX
3H,YVP,YTQ
3H,YWB,YQC
3H,YWB,YZG
3H,YWK,YKL
3H,YWK,YZV
3H,YZG,YIK
3H,YZG,YWB
3H,YZV,YKL
3H,YZV,YWK
3J,JIB,DXB
3J,JIB,JED
3J,JIB,MGQ
3J,MGQ,NBO
3J,NBO,MGQ
3K,BKK,SIN
3K,DRW,SIN
3K,HAK,SIN
3K,HGH,SIN
3K,HKG,SIN
3K,HKT,SIN
3K,KIX,MNL
3K,KIX,TPE
3K,KUL,SIN
3K,MNL,KIX
3K,MNL,SIN
3K,PEN,SIN
3K,PER,SIN
3K,PNH,SIN
3K,REP,SIN
3K,RGN,SIN
3K,SGN,SIN
3K,SIN,BKK
3K,SIN,DRW
3K,SIN,HAK
3K,SIN,HGH
3K,SIN,HKG
3K,SIN,HKT
3K,SIN,KUL
3K,SIN,MNL
3K,SIN,PEN
3K,SIN,PER
3K,SIN,PNH
3K,SIN,REP
3K,SIN,RGN
3K,SIN,SGN
3K,SIN,SWA
3K,SIN,TPE
3K,SWA,SIN
3K,TPE,KIX
3K,TPE,SIN
3L,ACH,EBA
3L,DRS,ZRH
3L,DUS,FDH
3L,EBA,ACH
3L,EBA,FDH
3L,EBA,MUC
3L,EBA,ZRH
3L,FDH,DUS
3L,FDH,EBA
3L,FDH,HAM
3L,FDH,OLB
3L,FDH,TXL
3L,FDH,ZAD
3L,FMM,NAP
3L,GRZ,ZRH
3L,HAM,FDH
3L,MUC,EBA
3L,NAP,FMM
3L,OLB,FDH
3L,SZG,ZRH
3L,TXL,FDH
3L,ZAD,FDH
3L,ZRH,DRS
3L,ZRH,EBA
3L,ZRH,GRZ
3L,ZRH,SZG
3M,ATL,LWB
3M,ATL,MCN
3M,ATL,MEI
3M,ATL,MSL
3M,ATL,PIB
3M,ATL,TUP
3M,BIM,FLL
3M,ELH,FLL
3M,ELH,PBI
3M,EYW,FLL
3M,EYW,RSW
3M,EYW,TPA
3M,FLL,BIM
3M,FLL,ELH
3M,FLL,EYW
3M,FLL,FPO
3M,FLL,GGT
3M,FLL,GHB
3M,FLL,MCO
3M,FLL,MHH
3M,FLL,TCB
3M,FLL,TPA
3M,FPO,FLL
3M,GGT,FLL
3M,GGT,GHB
3M,GHB,FLL
3M,GLH,TUP
3M,GNV,MCO
3M,GNV,TPA
3M,JAX,MHH
3M,JAX,TPA
3M,LWB,ATL
3M,MCN,ATL
3M,MCN,MCO
3M,MCO,FLL
3M,MCO,GNV
3M,MCO,MCN
3M,MCO,MHH
3M,MCO,PNS
3M,MCO,RSW
3M,MCO,TLH
3M,MEI,ATL
3M,MHH,FLL
3M,MHH,JAX
3M,MHH,MCO
3M,MHH,PBI
3M,MSL,ATL
3M,PBI,ELH
3M,PBI,MHH
3M,PBI,TPA
3M,PIB,ATL
3M,PNS,MCO
3M,PNS,TPA
3M,RSW,EYW
3M,RSW,MCO
3M,TCB,FLL
3M,TLH,MCO
3M,TLH,TPA
3M,TPA,EYW
3M,TPA,FLL
3M,TPA,GNV
3M,TPA,JAX
3M,TPA,PBI
3M,TPA,PNS
3M,TPA,TLH
3M,TUP,ATL
3M,TUP,GLH
3O,AMS,NDR
3O,AMS,TNG
3O,BCN,CMN
3O,BCN,NDR
3O,BCN,TNG
3O,BGY,CMN
3O,BLQ,CMN
3O,BRU,CMN
3O,BRU,NDR
3O,BRU,TNG
3O,CGN,NDR
3O,CMN,BCN
3O,CMN,BGY
3O,CMN,BLQ
3O,CMN,BRU
3O,CMN,CUF
3O,CMN,LGW
3O,CMN,LYS
3O,CMN,MPL
3O,CMN,SAW
3O,CMN,TLS
3O,CMN,TSF
3O,CUF,CMN
3O,FEZ,MPL
3O,LGW,CMN
3O,LGW,TNG
3O,LYS,CMN
3O,MPL,CMN
3O,MPL,FEZ
3O,MPL,NDR
3O,NDR,AMS
3O,NDR,BCN
3O,NDR,BRU
3O,NDR,CGN
3O,NDR,MPL
3O,NDR,PMI
3O,PMI,NDR
3O,SAW,CMN
3O,TLS,CMN
3O,TNG,AMS
3O,TNG,BCN
3O,TNG,BRU
3O,TNG,LGW
3O,TSF,CMN
3P,AUA,LSP
3P,AUA,MAR
3P,BON,CUR
3P,CUR,AUA
3P,LSP,AUA
3P,MAR,AUA
3R,ASF,DME
3R,ASF,LED
3R,BHK,DME
3R,DME,ASF
3R,DME,BHK
3R,DME,EGO
3R,DME,FEG
3R,DME,KSQ
3R,DME,NMA
3R,DME,NVI
3R,DME,SKD
3R,DME,TIV
3R,EGO,DME
3R,FEG,DME
3R,KSQ,DME
3R,LED,ASF
3R,NMA,DME
3R,NVI,DME
3R,SKD,DME
3R,TIV,DME
3S,ANU,PTP
3S,CAY,FDF
3S,CUR,SDQ
3S,DOM,PTP
3S,DOM,SXM
3S,FDF,CAY
3S,FDF,PTP
3S,FDF,SDQ
3S,FDF,SLU
3S,PTP,ANU
3S,PTP,DOM
3S,PTP,FDF
3S,PTP,SBH
3S,PTP,SDQ
3S,PTP,SFG
3S,PTP,SXM
3S,SBH,PTP
3S,SDQ,PTP
3S,SDQ,SXM
3S,SFG,PTP
3S,SLU,FDF
3S,SXM,DOM
3S,SXM,PTP
3S,SXM,SDQ
3U,BHY,XIY
3U,CAN,CKG
3U,CAN,CTU
3U,CAN,SPN
3U,CGO,CGQ
3U,CGO,CKG
3U,CGO,CTU
3U,CGO,HGH
3U,CGO,HRB
3U,CGO,KMG
3U,CGO,URC
3U,CGQ,CGO
3U,CGQ,NKG
3U,CGQ,TNA
3U,CGQ,TSN
3U,CKG,CAN
3U,CKG,CGO
3U,CKG,CSX
3U,CKG,CTU
3U,CKG,CZX
3U,CKG,DLC
3U,CKG,DYG
3U,CKG,HAK
3U,CKG,HGH
3U,CKG,HKT
3U,CKG,INC
3U,CKG,KHN
3U,CKG,KMG
3U,CKG,LHW
3U,CKG,LJG
3U,CKG,LXA
3U,CKG,NGB
3U,CKG,NKG
3U,CKG,NNG
3U,CKG,PEK
3U,CKG,PVG
3U,CKG,PZI
3U,CKG,SWA
3U,CKG,SYD
3U,CKG,SYX
3U,CKG,SZX
3U,CKG,TNA
3U,CKG,TSA
3U,CKG,TSN
3U,CKG,TYN
3U,CKG,URC
3U,CKG,WUH
3U,CKG,WUX
3U,CKG,XIY
3U,CKG,XNN
3U,CKG,YIH
3U,CKG,ZHA
3U,CSX,CKG
3U,CSX,CTU
3U,CSX,FOC
3U,CSX,KMG
3U,CSX,SHE
3U,CSX,WNZ
3U,CSX,XMN
3U,CTU,CAN
3U,CTU,CGO
3U,CTU,CKG
3U,CTU,CSX
3U,CTU,DCY
3U,CTU,DSN
3U,CTU,HAK
3U,CTU,HDG
3U,CTU,HET
3U,CTU,HFE
3U,CTU,HGH
3U,CTU,HKG
3U,CTU,HKT
3U,CTU,ICN
3U,CTU,INC
3U,CTU,JHG
3U,CTU,JIQ
3U,CTU,JZH
3U,CTU,KHN
3U,CTU,KMG
3U,CTU,KOW
3U,CTU,KWE
3U,CTU,LHW
3U,CTU,LJG
3U,CTU,LUM
3U,CTU,LXA
3U,CTU,LZY
3U,CTU,MEL
3U,CTU,NKG
3U,CTU,NNG
3U,CTU,PEK
3U,CTU,PVG
3U,CTU,PZI
3U,CTU,SHE
3U,CTU,SJW
3U,CTU,SYX
3U,CTU,SZX
3U,CTU,TAO
3U,CTU,TNA
3U,CTU,TSA
3U,CTU,TSN
3U,CTU,TYN
3U,CTU,URC
3U,CTU,WNZ
3U,CTU,WUH
3U,CTU,WUX
3U,CTU,WXN
3U,CTU,XIC
3U,CTU,XIY
3U,CTU,XMN
3U,CTU,XNN
3U,CTU,XUZ
3U,CTU,YIH
3U,CTU,YTY
3U,CZX,CKG
3U,CZX,HRB
3U,CZX,XMN
3U,CZX,ZUH
3U,DAT,TYN
3U,DCY,CTU
3U,DLC,CKG
3U,DLC,HGH
3U,DLC,HRB
3U,DLC,TNA
3U,DLC,XUZ
3U,DNH,LHW
3U,DSN,CTU
3U,DSN,SHE
3U,DYG,CKG
3U,DYG,NKG
3U,FOC,CSX
3U,FOC,XIY
3U,GXH,LXA
3U,GXH,XIY
3U,HAK,CKG
3U,HAK,CTU
3U,HAK,HGH
3U,HAK,NGB
3U,HAK,ZUH
3U,HDG,CTU
3U,HET,CTU
3U,HFE,CTU
3U,HGH,CGO
3U,HGH,CKG
3U,HGH,CTU
3U,HGH,DLC
3U,HGH,HAK
3U,HGH,KWE
3U,HGH,TSN
3U,HGH,TYN
3U,HKG,CTU
3U,HKG,YIH
3U,HKG,ZHA
3U,HKT,CKG
3U,HKT,CTU
3U,HRB,CGO
3U,HRB,CZX
3U,HRB,DLC
3U,HRB,INC
3U,HRB,NGB
3U,HRB,NKG
3U,HRB,NZH
3U,HRB,SJW
3U,HRB,TNA
3U,HRB,TSN
3U,HRB,WNZ
3U,HRB,WUH
3U,HRB,XIY
3U,HRB,XUZ
3U,ICN,CTU
3U,INC,CKG
3U,INC,CTU
3U,INC,HRB
3U,INC,KWL
3U,JGN,LHW
3U,JHG,CTU
3U,JHG,KMG
3U,JIQ,CTU
3U,JJN,KWE
3U,JJN,WUH
3U,JZH,CTU
3U,KHG,URC
3U,KHN,CKG
3U,KHN,CTU
3U,KHN,KMG
3U,KHN,NGB
3U,KMG,CGO
3U,KMG,CKG
3U,KMG,CSX
3U,KMG,CTU
3U,KMG,JHG
3U,KMG,KHN
3U,KMG,KWE
3U,KMG,LUM
3U,KMG,NGB
3U,KMG,NKG
3U,KMG,TAO
3U,KMG,TNA
3U,KMG,TPE
3U,KMG,WXN
3U,KMG,XIY
3U,KMG,XMN
3U,KMG,XUZ
3U,KOW,CTU
3U,KOW,XMN
3U,KWE,CTU
3U,KWE,HGH
3U,KWE,JJN
3U,KWE,KMG
3U,KWE,LHW
3U,KWE,SYX
3U,KWE,WNZ
3U,KWE,XUZ
3U,KWL,INC
3U,KWL,SJW
3U,KWL,SYX
3U,LHW,CKG
3U,LHW,CTU
3U,LHW,DNH
3U,LHW,JGN
3U,LHW,KWE
3U,LHW,TSN
3U,LJG,CKG
3U,LJG,CTU
3U,LJG,MIG
3U,LUM,CTU
3U,LUM,KMG
3U,LXA,CKG
3U,LXA,CTU
3U,LXA,GXH
3U,LXA,XIY
3U,LXA,XNN
3U,LYI,XIY
3U,LZY,CTU
3U,MEL,CTU
3U,MIG,LJG
3U,MIG,NKG
3U,MIG,SYX
3U,MIG,XNN
3U,NGB,CKG
3U,NGB,HAK
3U,NGB,HRB
3U,NGB,KHN
3U,NGB,KMG
3U,NGB,SHE
3U,NGB,SYX
3U,NKG,CGQ
3U,NKG,CKG
3U,NKG,CTU
3U,NKG,DYG
3U,NKG,HRB
3U,NKG,KMG
3U,NKG,MIG
3U,NKG,SYX
3U,NNG,CKG
3U,NNG,CTU
3U,NNG,SGN
3U,NNG,WUH
3U,NTG,WUH
3U,NZH,HRB
3U,PEK,CKG
3U,PEK,CTU
3U,PEK,WXN
3U,PEK,ZHY
3U,PVG,CKG
3U,PVG,CTU
3U,PVG,SPN
3U,PZI,CKG
3U,PZI,CTU
3U,SGN,NNG
3U,SHE,CSX
3U,SHE,CTU
3U,SHE,DSN
3U,SHE,NGB
3U,SHE,TYN
3U,SHE,XUZ
3U,SHE,YVR
3U,SJW,CTU
3U,SJW,HRB
3U,SJW,KWL
3U,SPN,CAN
3U,SPN,PVG
3U,SWA,CKG
3U,SYD,CKG
3U,SYX,CKG
3U,SYX,CTU
3U,SYX,KWE
3U,SYX,KWL
3U,SYX,MIG
3U,SYX,NGB
3U,SYX,NKG
3U,SYX,TNA
3U,SYX,WNZ
3U,SYX,YBP
3U,SZX,CKG
3U,SZX,CTU
3U,SZX,WXN
3U,TAO,CTU
3U,TAO,KMG
3U,TNA,CGQ
3U,TNA,CKG
3U,TNA,CTU
3U,TNA,DLC
3U,TNA,HRB
3U,TNA,KMG
3U,TNA,SYX
3U,TNA,XIY
3U,TPE,KMG
3U,TSA,CKG
3U,TSA,CTU
3U,TSN,CGQ
3U,TSN,CKG
3U,TSN,CTU
3U,TSN,HGH
3U,TSN,HRB
3U,TSN,LHW
3U,TVS,TYN
3U,TYN,CKG
3U,TYN,CTU
3U,TYN,DAT
3U,TYN,HGH
3U,TYN,SHE
3U,TYN,TVS
3U,URC,CGO
3U,URC,CKG
3U,URC,CTU
3U,URC,KHG
3U,URC,XIY
3U,UYN,XIY
3U,WNZ,CSX
3U,WNZ,CTU
3U,WNZ,HRB
3U,WNZ,KWE
3U,WNZ,SYX
3U,WUH,CKG
3U,WUH,CTU
3U,WUH,HRB
3U,WUH,JJN
3U,WUH,NNG
3U,WUH,NTG
3U,WUX,CKG
3U,WUX,CTU
3U,WXN,CTU
3U,WXN,KMG
3U,WXN,PEK
3U,WXN,SZX
3U,XIC,CTU
3U,XIY,BHY
3U,XIY,CKG
3U,XIY,CTU
3U,XIY,FOC
3U,XIY,GXH
3U,XIY,HRB
3U,XIY,KMG
3U,XIY,LXA
3U,XIY,LYI
3U,XIY,TNA
3U,XIY,URC
3U,XIY,UYN
3U,XIY,XMN
3U,XIY,XNN
3U,XIY,YBP
3U,XMN,CSX
3U,XMN,CTU
3U,XMN,CZX
3U,XMN,KMG
3U,XMN,KOW
3U,XMN,XIY
3U,XNN,CKG
3U,XNN,CTU
3U,XNN,LXA
3U,XNN,MIG
3U,XNN,XIY
3U,XNN,ZHY
3U,XUZ,CTU
3U,XUZ,DLC
3U,XUZ,HRB
3U,XUZ,KMG
3U,XUZ,KWE
3U,XUZ,SHE
3U,YBP,SYX
3U,YBP,XIY
3U,YIH,CKG
3U,YIH,CTU
3U,YIH,HKG
3U,YTY,CTU
3U,YVR,SHE
3U,ZHA,CKG
3U,ZHA,HKG
3U,ZHY,PEK
3U,ZHY,XNN
3U,ZUH,CZX
3U,ZUH,HAK
4B,LAS,LAX
4B,LAX,LAS
4D,CAI,TLV
4D,TLV,CAI
4E,MCG,NIB
4E,MCG,TCT
4E,NIB,MCG
4E,TCT,TLJ
4E,TLJ,MCG
4G,EYK,VKO
4G,NCU,VKO
4G,NUX,TJM
4G,NUX,UFA
4G,NUX,VKO
4G,NYM,OVS
4G,NYM,VKO
4G,OVS,NYM
4G,OVS,SVX
4G,OVS,VKO
4G,SVX,OVS
4G,TJM,NUX
4G,UCT,VKO
4G,UFA,NUX
4G,VKO,EYK
4G,VKO,NCU
4G,VKO,NUX
4G,VKO,NYM
4G,VKO,OVS
4G,VKO,UCT
4H,BKK,DAC
4H,BZL,DAC
4H,CCU,CGP
4H,CCU,DAC
4H,CGP,CCU
4H,CGP,DAC
4H,CGP,MCT
4H,CXB,DAC
4H,DAC,BKK
4H,DAC,BZL
4H,DAC,CCU
4H,DAC,CGP
4H,DAC,CXB
4H,DAC,DXB
4H,DAC,JED
4H,DAC,JSR
4H,DAC,KTM
4H,DAC,KUL
4H,DAC,MCT
4H,DAC,SPD
4H,DAC,ZYL
4H,DXB,DAC
4H,JED,DAC
4H,JSR,DAC
4H,KTM,DAC
4H,KUL,DAC
4H,MCT,CGP
4H,MCT,DAC
4H,RJH,DAC
4H,SPD,DAC
4H,SPD,RJH
4H,ZYL,DAC
4K,YGZ,YRB
4K,YRB,YGZ
4M,DFW,EZE
4M,EZE,DFW
4M,EZE,JFK
4M,EZE,MIA
4M,EZE,PUJ
4M,JFK,EZE
4M,MIA,EZE
4M,MIA,PUJ
4M,PUJ,EZE
4M,PUJ,MIA
4N,YEG,YXY
4N,YLW,YVR
4N,YLW,YXY
4N,YOW,YZF
4N,YVR,YLW
4N,YVR,YXY
4N,YXY,YLW
4N,YXY,YVR
4N,YXY,YYC
4N,YXY,YZF
4N,YYC,YEG
4N,YZF,YOW
4N,YZF,YXY
4O,ACA,MEX
4O,ACA,TLC
4O,AGU,MEX
4O,BOG,MEX
4O,CEN,MEX
4O,CJS,MEX
4O,CME,MEX
4O,CPE,MEX
4O,CTM,MEX
4O,CUL,MEX
4O,CUN,MEX
4O,CUN,MTY
4O,CUN,TLC
4O,CUU,MEX
4O,CZM,MEX
4O,GDL,MEX
4O,GDL,MTY
4O,GDL,SAT
4O,GDL,SJD
4O,GDL,SNA
4O,GDL,TIJ
4O,GUA,MEX
4O,HAV,MEX
4O,HMO,MEX
4O,HUX,MEX
4O,JFK,MEX
4O,LAP,MEX
4O,LAS,MTY
4O,LAS,TLC
4O,MEX,ACA
4O,MEX,AGU
4O,MEX,BOG
4O,MEX,CEN
4O,MEX,CJS
4O,MEX,CME
4O,MEX,CPE
4O,MEX,CTM
4O,MEX,CUL
4O,MEX,CUN
4O,MEX,CUU
4O,MEX,CZM
4O,MEX,GDL
4O,MEX,GUA
4O,MEX,HAV
4O,MEX,HMO
4O,MEX,HUX
4O,MEX,JFK
4O,MEX,LAP
4O,MEX,MIA
4O,MEX,MID
4O,MEX,MTT
4O,MEX,MTY
4O,MEX,MZT
4O,MEX,OAX
4O,MEX,PQM
4O,MEX,PVR
4O,MEX,REX
4O,MEX,SAT
4O,MEX,SJD
4O,MEX,SJO
4O,MEX,SNA
4O,MEX,TAM
4O,MEX,TGZ
4O,MEX,TIJ
4O,MEX,TRC
4O,MEX,VER
4O,MEX,VSA
4O,MEX,ZCL
4O,MEX,ZIH
4O,MEX,ZLO
4O,MIA,MEX
4O,MID,MEX
4O,MTT,MEX
4O,MTY,CUN
4O,MTY,GDL
4O,MTY,LAS
4O,MTY,MEX
4O,MTY,SAT
4O,MTY,TLC
4O,MZT,MEX
4O,OAX,MEX
4O,PQM,MEX
4O,PVR,MEX
4O,PVR,TLC
4O,REX,MEX
4O,SAT,GDL
4O,SAT,MEX
4O,SAT,MTY
4O,SAT,TLC
4O,SJD,GDL
4O,SJD,MEX
4O,SJD,TLC
4O,SJO,MEX
4O,SNA,GDL
4O,SNA,MEX
4O,TAM,MEX
4O,TGZ,MEX
4O,TIJ,GDL
4O,TIJ,MEX
4O,TLC,ACA
4O,TLC,CUN
4O,TLC,LAS
4O,TLC,MTY
4O,TLC,PVR
4O,TLC,SAT
4O,TLC,SJD
4O,TLC,ZIH
4O,TRC,MEX
4O,VER,MEX
4O,VSA,MEX
4O,ZCL,MEX
4O,ZIH,MEX
4O,ZIH,TLC
4O,ZLO,MEX
4Q,DEL,HEA
4Q,DEL,KBL
4Q,DXB,KBL
4Q,HEA,DEL
4Q,HEA,ISB
4Q,HEA,KBL
4Q,ISB,HEA
4Q,ISB,KBL
4Q,KBL,DEL
4Q,KBL,DXB
4Q,KBL,HEA
4Q,KBL,ISB
4Q,KBL,MZR
4Q,MZR,KBL
4T,AYT,ZRH
4T,BSL,HRG
4T,HRG,BSL
4T,HRG,ZRH
4T,PRN,ZRH
4T,RMF,ZRH
4T,SKP,ZRH
4T,ZRH,AYT
4T,ZRH,HRG
4T,ZRH,PRN
4T,ZRH,RMF
4T,ZRH,SKP
4U,AGP,STR
4U,AGP,TXL
4U,ALG,CGN
4U,AMS,HAM
4U,AOI,DUS
4U,AOI,TXL
4U,ARN,CGN
4U,ARN,DUS
4U,ARN,HAM
4U,ATH,CGN
4U,ATH,STR
4U,AYT,CGN
4U,BCN,CGN
4U,BCN,DUS
4U,BCN,HAJ
4U,BCN,HAM
4U,BCN,STR
4U,BDS,STR
4U,BEG,STR
4U,BGO,HAM
4U,BHX,HAM
4U,BHX,TXL
4U,BIA,CGN
4U,BIA,DUS
4U,BIA,HAM
4U,BIA,STR
4U,BIA,TXL
4U,BIO,DUS
4U,BIO,STR
4U,BLQ,CGN
4U,BLQ,TXL
4U,BRE,STR
4U,BRI,CGN
4U,BRI,DUS
4U,BRI,STR
4U,BRU,STR
4U,BSL,DUS
