RSW,301,012D
SAF,302,012E
SAN,303,012F
SAT,304,0130
SAV,305,0131
SBA,306,0132
SBN,307,0133
SBP,308,0134
SBY,309,0135
SCC,310,0136
SCE,311,0137
SCK,312,0138
SDF,313,0139
SEA,314,013A
SFB,315,013B
SFO,316,013C
SGF,317,013D
SGU,318,013E
SHD,319,013F
SHR,320,0140
SHV,321,0141
SIT,322,0142
SJC,323,0143
SJT,324,0144
SJU,325,0145
SLC,326,0146
SLN,327,0147
SMF,328,0148
SMX,329,0149
SNA,330,014A
SPI,331,014B
SPN,332,014C
SPS,333,014D
SRQ,334,014E
STC,335,014F
STL,336,0150
STS,337,0151
STT,338,0152
STX,339,0153
SUN,340,0154
SUX,341,0155
SWF,342,0156
SWO,343,0157
SYR,344,0158
TBN,345,0159
TLH,346,015A
TOL,347,015B
TPA,348,015C
TRI,349,015D
TTN,350,015E
TUL,351,015F
TUS,352,0160
TVC,353,0161
TWF,354,0162
TXK,355,0163
TYR,356,0164
TYS,357,0165
USA,358,0166
VCT,359,0167
VEL,360,0168
VLD,361,0169
VPS,362,016A
WRG,363,016B
XNA,364,016C
XWA,365,016D
YAK,366,016E
YKM,367,016F
YUM,368,0170
