Airline,IATA,Key,Hex
SeaPort Airlines,K5,817,0331
Wings of Alaska,K5,818,0332
Bravo Air Congo,K6,819,0333
Cambodia Angkor Air (K6),K6,820,0334
KoralBlue Airlines,K7,821,0335
Airlink Zambia,K8,822,0336
Zambia Skyways,K8,823,0337
Krylo Airlines,K9,824,0338
Dragonair,KA,825,0339
Druk Air,KB,826,033A
Air Astana,KC,827,033B
KD Avia,KD,828,033C
Korean Air,KE,829,033D
Blue1,KF,830,033E
LAI - Linea Aerea IAACA,KG,831,033F
Royal Airways,KG,832,0340
Cook Island Air,KH,833,0341
Kharkiv Airlines,KH,834,0342
Adam Air,KI,835,0343
Air Atlantique,KI,836,0344
British Mediterranean Airways,KJ,837,0345
Atlasjet,KK,838,0346
KLM Royal Dutch Airlines,KL,839,0347
Air Malta,KM,840,0348
China United,KN,841,0349
Alaska Central Express,KO,842,034A
Air Cape,KP,843,034B
Dense Airways,KP,844,034C
Kiwi International Air Lines,KP,845,034D
Kenya Airways,KQ,846,034E
Comores Airlines,KR,847,034F
Peninsula Airways,KS,848,0350
California Western,KT,849,0351
VickJet,KT,850,0352
Kuwait Airways,KU,851,0353
Kavminvodyavia,KV,852,0354
Carnival Air Lines,KW,853,0355
Cayman Airways,KX,854,0356
Air S,KY,855,0357
Kibris T,KY,856,0358
KSY,KY,857,0359
Dense Connection,KZ,858,035A
Nippon Cargo Airlines,KZ,859,035B
All Argentina,L1,860,035C
Lufthansa Systems,L1,861,035D
Lynden Air Cargo,L2,862,035E
DHL de Guatemala,L3,863,035F
LTU Austria,L3,864,0360
Luchsh Airlines ,L4,865,0361
Lufttransport,L5,866,0362
Mauritania Airlines International,L6,867,0363
Laoag International Airlines,L7,868,0364
Linea Aerea SAPSA,L7,869,0365
Lugansk Airlines,L7,870,0366
Air Luxor GB,L8,871,0367
Line Blue,L8,872,0368
All Asia,L9,873,0369
Teamline Air,L9,874,036A
LAN Airlines,LA,875,036B
Air Costa,LB,876,036C
Lloyd Aereo Boliviano,LB,877,036D
Varig Log,LC,878,036E
Air Hong Kong,LD,879,036F
Linea Turistica Aerotuy,LD,880,0370
Liberty Airways,LE,881,0371
FlyNordic,LF,882,0372
Luxair,LG,883,0373
Lufthansa,LH,884,0374
Lufthansa Cargo,LH,885,0375
Leeward Islands Air Transport,LI,886,0376
Jin Air,LJ,887,0377
Sierra National Airlines,LJ,888,0378
Air Luxor,LK,889,0379
Allegro,LL,890,037A
Linhas A,LM,891,037B
Livingston,LM,892,037C
Libyan Arab Airlines,LN,893,037D
LOT Polish Airlines,LO,894,037E
LAN Peru,LP,895,037F
LCM AIRLINES,LQ,896,0380
Lebanese Air Transport,LQ,897,0381
LACSA,LR,898,0382
Jet2.com,LS,899,0383
Air Lituanica,LT,900,0384
LTU International,LT,901,0385
LAN Express,LU,902,0386
Albanian Airlines,LV,903,0387
Pacific Wings,LW,904,0388
Swiss International Air Lines,LX,905,0389
El Al Israel Airlines,LY,906,038A
Balkan Bulgarian Airlines,LZ,907,038B
Aero Mongolia,M0,908,038C
Maryland Air,M1,909,038D
Mahfooz Aviation,M2,910,038E
MHS Aviation GmbH,M2,911,038F
ABSA - Aerolinhas Brasileiras,M3,912,0390
Air Service,M3,913,0391
North Flying,M3,914,0392
Marysya Airlines,M4,915,0393
Nova Airline,M4,916,0394
Kenmore Air,M5,917,0395
Amerijet International,M6,918,0396
Marsland Aviation,M7,919,0397
MasAir,M7,920,0398
Tropical Airways,M7,921,0399
Trans Maldivian Airways,M8,922,039A
TransNusa Air,M8,923,039B
Motor Sich,M9,924,039C
Malév,MA,925,039D
Execair Aviation,MB,926,039E
MNG Airlines,MB,927,039F
Air Mobility Command,MC,928,03A0
Air Madagascar,MD,929,03A1
Middle East Airlines,ME,930,03A2
Xiamen Airlines,MF,931,03A3
Champion Air,MG,932,03A4
Malaysia Airlines,MH,933,03A5
SilkAir,MI,934,03A6
L,MJ,935,03A7
Air Mauritius,MK,936,03A8
African Transport Trading and Investment Company,ML,937,03A9
Maldivo Airlines,ML,938,03AA
Peach Aviation,MM,939,03AB
Comair,MN,940,03AC
Abu Dhabi Amiri Flight,MO,941,03AD
Calm Air,MO,942,03AE
Martinair,MP,943,03AF
American Eagle Airlines,MQ,944,03B0
Air Mauritanie,MR,945,03B1
Homer Air,MR,946,03B2
Egyptair,MS,947,03B3
Thomas Cook Airlines,MT,948,03B4
China Eastern Airlines,MU,949,03B5
Armenian International Airways,MV,950,03B6
Maya Island Air,MW,951,03B7
Mexicana de Aviaci,MX,952,03B8
Maxjet Airways,MY,953,03B9
Midwest Airlines (Egypt),MY,954,03BA
Merpati Nusantara Airlines,MZ,955,03BB
Norte Lineas Aereas,N0,956,03BC
N1,N1,957,03BD
Dagestan Airlines,N2,958,03BE
Kabo Air,N2,959,03BF
Omskavia Airline,N3,960,03C0
Minerva Airlines,N4,961,03C1
Mountain Air Company,N4,962,03C2
National Airlines,N4,963,03C3
Regionalia México,N4,964,03C4
Kyrgyz Airlines,N5,965,03C5
Skagway Air Service,N5,966,03C6
Aerocontinente (Priv),N6,967,03C7
Lagun Air,N6,968,03C8
Nuevo Continente,N6,969,03C9
All Spain,N7,970,03CA
Brava Linhas A�reas,N7,971,03CB
National Airlines,N7,972,03CC
Fika Salaama Airlines,N8,973,03CD
National Air Cargo,N8,974,03CE
All Europe,N9,975,03CF
North Coast Aviation,N9,976,03D0
Sterling Airlines,NB,977,03D1
National Jet Systems,NC,978,03D2
Northern Air Cargo,NC,979,03D3
SkyEurope,NE,980,03D4
Air Vanuatu,NF,981,03D5
Lauda Air,NG,982,03D6
All Nippon Airways,NH,983,03D7
Portugalia,NI,984,03D8
Nihon.jet,NJ,985,03D9
Nordic Global Airlines,NJ,986,03DA
Spirit Airlines,NK,987,03DB
Shaheen Air International,NL,988,03DC
Air Madrid,NM,989,03DD
Mount Cook Airlines,NM,990,03DE
VIM Airlines,NN,991,03DF
Aus-Air,NO,992,03E0
Neos,NO,993,03E1
North Pacific Airlines,NO,994,03E2
Nile Air,NP,995,03E3
Air Japan,NQ,996,03E4
Jettor Airlines,NR,997,03E5
Pamir Airways,NR,998,03E6
Caucasus Airlines,NS,999,03E7
Binter Canarias,NT,1000,03E8
Japan Transocean Air,NU,1001,03E9
Air Central,NV,1002,03EA
Naka Nihon Airlines Service,NV,1003,03EB
Northwest Airlines,NW,1004,03EC
Air Macau,NX,1005,03ED
Air Iceland,NY,1006,03EE
Air New Zealand,NZ,1007,03EF
Orbit Airlines Azerbaijan,O1,1008,03F0
Oceanic Airlines,O2,1009,03F1
Andes Lineas Aereas,O4,1010,03F2
Oceanair,O6,1011,03F3
Ozjet Airlines,O7,1012,03F4
Oasis Hong Kong Airlines,O8,1013,03F5
Olympic Airlines,OA,1014,03F6
Astrakhan Airlines,OB,1015,03F7
Catovair,OC,1016,03F8
Malindo Air,OD,1017,03F9
Zuliana de Aviacion,OD,1018,03FA
Asia Overnight Express,OE,1019,03FB
WestAir,OE,1020,03FC
WestAir Airlines,OE,1021,03FD
WestAir Airlines ,OE,1022,03FE
Air Finland,OF,1023,03FF
Transports et Travaux A,OF,1024,0400
1-2-go,OG,1025,0401
AirOnix,OG,1026,0402
Comair,OH,1027,0403
Orchid Airlines,OI,1028,0404
Overland Airways,OJ,1029,0405
Czech Airlines,OK,1030,0406
Ostfriesische Lufttransport,OL,1031,0407
MIAT Mongolian Airlines,OM,1032,0408
Nauru Air Corporation,ON,1033,0409
Our Airline,ON,1034,040A
SkyWest,OO,1035,040B
Air Pegasus,OP,1036,040C
Chalk's Ocean Airways,OP,1037,040D
Chongqing Airlines,OQ,1038,040E
Arkefly,OR,1039,040F
Austrian Airlines,OS,1040,0410
Aeropelican Air Services,OT,1041,0411
Croatia Airlines,OU,1042,0412
Estonian Air,OV,1043,0413
Executive Airlines,OW,1044,0414
Orient Thai Airlines,OX,1045,0415
Omni Air International,OY,1046,0416
Asiana Airlines,OZ,1047,0417
Ozark Air Lines,OZ,1048,0418
Proflight Commuter Services,P0,1049,0419
Publiccharters.com,P1,1050,041A
AirKenya Express,P2,1051,041B
Patriot Airways,P4,1052,041C
AeroRep,P5,1053,041D
Pascan,P6,1054,041E
Privilege Style,P6,1055,041F
Regional Paraguaya,P7,1056,0420
Russian Sky Airlines,P7,1057,0421
Air Mekong,P8,1058,0422
Pantanal Linhas Aéreas,P8,1059,0423
Nas Air,P9,1060,0424
Perm Airlines,P9,1061,0425
Peruvian Airlines,P9,1062,0426
Florida Coastal Airlines,PA,1063,0427
Pan American Airways,PA,1064,0428
Pan American World Airways,PA,1065,0429
Parmiss Airlines (IPV),PA,1066,042A
PAL Airlines,PB,1067,042B
Air Fiji,PC,1068,042C
Continental Airways,PC,1069,042D
Pegasus Airlines,PC,1070,042E
Porter Airlines,PD,1071,042F
Air Europe,PE,1072,0430
Palestinian Airlines,PF,1073,0431
Primera Air,PF,1074,0432
Bangkok Airways,PG,1075,0433
Polynesian Airlines,PH,1076,0434
Piedmont Airlines (1948-1989),PI,1077,0435
Sun Air (Fiji),PI,1078,0436
Air Saint Pierre,PJ,1079,0437
Pakistan International Airlines,PK,1080,0438
Aeroper,PL,1081,0439
Airstars,PL,1082,043A
Tropic Air,PM,1083,043B
West Air China,PN,1084,043C
FlyPortugal,PO,1085,043D
Polar Air Cargo,PO,1086,043E
Air Indus,PP,1087,043F
LSM Airlines,PQ,1088,0440
Panafrican Airways,PQ,1089,0441
Philippine Airlines,PR,1090,0442
Pacific Southwest Airlines,PS,1091,0443
Ukraine International Airlines,PS,1092,0444
Capital Cargo International Airlines,PT,1093,0445
Red Jet Andes,PT,1094,0446
West Air Sweden,PT,1095,0447
PLUNA,PU,1096,0448
PAN Air,PV,1097,0449
Precision Air,PW,1098,044A
Air Niugini,PX,1099,044B
Surinam Airways,PY,1100,044C
TAM Mercosur,PZ,1101,044D
Maldivian,Q2,1102,044E
SOCHI AIR CHATER,Q3,1103,044F
Zambian Airways,Q3,1104,0450
Mastertop Linhas Aereas,Q4,1105,0451
SOCHI AIR EXPRESS,Q4,1106,0452
40-Mile Air,Q5,1107,0453
Aero Condor Peru,Q6,1108,0454
SkyBahamas Airlines,Q7,1109,0455
Pacific East Asia Cargo Airlines,Q8,1110,0456
Afrinat International Airlines,Q9,1111,0457
Arik Niger,Q9,1112,0458
Click (Mexicana),QA,1113,0459
Georgian National Airlines,QB,1114,045A
Air Corridor,QC,1115,045B
Camair-co,QC,1116,045C
Air Class Lineas Aereas,QD,1117,045D
Dobrolet,QD,1118,045E
Crossair Europe,QE,1119,045F
Qantas,QF,1120,0460
Citilink Indonesia,QG,1121,0461
Air Florida,QH,1122,0462
Kyrgyzstan,QH,1123,0463
Cimber Air,QI,1124,0464
Jet Airways,QJ,1125,0465
Air Canada Jazz,QK,1126,0466
Aero Lanka,QL,1127,0467
Air Malawi,QM,1128,0468
Air Armenia,QN,1129,0469
Royal,QN,1130,046A
Aeromexpress,QO,1131,046B
Origin Pacific Airways,QO,1132,046C
Air Kenya (Priv),QP,1133,046D
Alliance Airlines,QQ,1134,046E
Reno Air,QQ,1135,046F
Qatar Airways,QR,1136,0470
African Safari Airways,QS,1137,0471
Travel Service,QS,1138,0472
TAMPA,QT,1139,0473
East African,QU,1140,0474
Lao Airlines,QV,1141,0475
Blue Wings,QW,1142,0476
Horizon Air,QX,1143,0477
European Air Transport,QY,1144,0478
Red Jet Canada,QY,1145,0479
Indonesia AirAsia,QZ,1146,047A
Royal Airlines,R0,1147,047B
Royal Southern Airlines.,R1,1148,047C
Sirin,R1,1149,047D
Orenburg Airlines,R2,1150,047E
Aircompany Yakutia,R3,1151,047F
Rossiya,R4,1152,0480
Jordan Aviation,R5,1153,0481
Malta Air Charter,R5,1154,0482
RACSA,R6,1155,0483
Aserca Airlines,R7,1156,0484
AirRussia,R8,1157,0485
Kyrgyzstan Airlines,R8,1158,0486
Camai Air,R9,1159,0487
Nepal Airlines,RA,1160,0488
Royal Nepal Airlines,RA,1161,0489
Air Srpska,RB,1162,048A
Syrian Arab Airlines,RB,1163,048B
Atlantic Airways,RC,1164,048C
Ryan International Airlines,RD,1165,048D
Aer Arann,RE,1166,048E
Florida West International Airways,RF,1167,048F
VRG Linhas Aereas,RG,1168,0490
Republic Express Airlines,RH,1169,0491
Mandala Airlines,RI,1170,0492
Royal Jordanian,RJ,1171,0493
Air Afrique,RK,1172,0494
Royal Khmer Airlines,RK,1173,0495
Royal Falcon,RL,1174,0496
Rainbow Air US,RM,1175,0497
Rainbow Air (RAI),RN,1176,0498
Tarom,RO,1177,0499
Chautauqua Airlines,RP,1178,049A
Kam Air,RQ,1179,049B
Red Jet America,RR,1180,049C
REXAIR VIRTUEL,RR,1181,049D
Royal Air Force,RR,1182,049E
Intercontinental de Aviaci,RS,1183,049F
Royal Air Force of Oman,RS,1184,04A0
Sky Regional,RS,1185,04A1
Real Tonga,RT,1186,04A2
AirBridge Cargo,RU,1187,04A3
Rainbow Air Euro,RU,1188,04A4
SkyKing Turks and Caicos Airways,RU,1189,04A5
Caspian Airlines,RV,1190,04A6
Republic Airlines,RW,1191,04A7
Aviaexpress,RX,1192,04A8
Rainbow Air Polynesia,RX,1193,04A9
Rainbow Air Canada,RY,1194,04AA
Reno Sky,RY,1195,04AB
Euro Exec Express,RZ,1196,04AC
Slok Air Gambia,S0,1197,04AD
Spike Airlines,S0,1198,04AE
Serbian Airlines,S1,1199,04AF
Air Sahara,S2,1200,04B0
Santa Barbara Airlines,S3,1201,04B1
SATA International,S4,1202,04B2
Shuttle America,S5,1203,04B3
Trast Aero,S5,1204,04B4
Salmon Air,S6,1205,04B5
Star Air,S6,1206,04B6
S7 Airlines,S7,1207,04B7
Chari Aviation Services,S8,1208,04B8
Shovkoviy Shlyah,S8,1209,04B9
Snowbird Airlines,S8,1210,04BA
East African Safari Air,S9,1211,04BB
Starbow Airlines,S9,1212,04BC
South African Airways,SA,1213,04BD
Air Caledonie International,SB,1214,04BE
Shandong Airlines,SC,1215,04BF
Sudan Airways,SD,1216,04C0
XL Airways France,SE,1217,04C1
Air Charter International,SF,1218,04C2
Tassili Airlines,SF,1219,04C3
JetsGo,SG,1220,04C4
Spicejet,SG,1221,04C5
Aéris (Priv),SH,1222,04C6
Fly Me Sweden,SH,1223,04C7
Sharp Airlines,SH,1224,04C8
TAN-SAHSA,SH,1225,04C9
Skynet Airlines,SI,1226,04CA
Sriwijaya Air,SJ,1227,04CB
Scandinavian Airlines System,SK,1228,04CC
Rio Sul Servi,SL,1229,04CD
Thai Lion Air,SL,1230,04CE
Spirit of Manila Airlines,SM,1231,04CF
Swedline Express,SM,1232,04D0
Brussels Airlines,SN,1233,04D1
Salsa d\\'Haiti,SO,1234,04D2
Sosoliso Airlines,SO,1235,04D3
Superior Aviation,SO,1236,04D4
SATA Air Acores,SP,1237,04D5
Singapore Airlines,SQ,1238,04D6
Singapore Airlines Cargo,SQ,1239,04D7
Swissair,SR,1240,04D8
Corsairfly,SS,1241,04D9
Germania,ST,1242,04DA
Aeroflot Russian Airlines,SU,1243,04DB
Saudi Arabian Airlines,SV,1244,04DC
Air Namibia,SW,1245,04DD
Sky Work Airlines,SX,1246,04DE
Skybus Airlines,SX,1247,04DF
SkyWork Airlines ,SX,1248,04E0
Starling Airlines Spain,SX,1249,04E1
Sun Country Airlines,SY,1250,04E2
Salzburg arrows,SZ,1251,04E3
TACA Peru,T0,1252,04E4
TROPICAL LINHAS AEREAS,T1,1253,04E5
Thai Air Cargo,T2,1254,04E6
Eastern Airways,T3,1255,04E7
Hellas Jet,T4,1256,04E8
Turkmenistan Airlines,T5,1257,04E9
Tavrey Airlines,T6,1258,04EA
Trans Pas Air,T6,1259,04EB
Twin Jet,T7,1260,04EC
TAN,T8,1261,04ED
Thai Star Airlines,T9,1262,04EE
TransMeridian Airlines,T9,1263,04EF
Grupo TACA,TA,1264,04F0
TrasBrasil,TB,1265,04F1
TUI Airlines Belgium,TB,1266,04F2
Air Tanzania,TC,1267,04F3
Atlantis European Airways,TD,1268,04F4
Tulip Air,TD,1269,04F5
FlyLal,TE,1270,04F6
Malmö Aviation,TF,1271,04F7
Thai Airways International,TG,1272,04F8
BA Connect,TH,1273,04F9
TransBrasil Airlines,TH,1274,04FA
Transmile Air Services,TH,1275,04FB
Tol-Air Services,TI,1276,04FC
TransHolding,TI,1277,04FD
T.J. Air,TJ,1278,04FE
Transportes Aéreos Nacionales de Selva,TJ,1279,04FF
Turkish Airlines,TK,1280,0500
Airnorth,TL,1281,0501
Trans Mediterranean Airlines,TL,1282,0502
Air Mozambique,TM,1283,0503
Air Tahiti Nui,TN,1284,0504
President Airlines,TO,1285,0505
Transavia France,TO,1286,0506
TAP Portugal,TP,1287,0507
Tandem Aero,TQ,1288,0508
Texas Wings,TQ,1289,0509
Tiger Airways,TR,1290,050A
Air Transat,TS,1291,050B
Air Lithuania,TT,1292,050C
Tiger Airways Australia,TT,1293,050D
Tunisair,TU,1294,050E
Virgin Express,TV,1295,050F
Trans World Airlines,TW,1296,0510
Tway Airlines,TW,1297,0511
Air Caraïbes,TX,1298,0512
Air Cal,TY,1299,0513
Iberworld,TY,1300,0514
Scoot,TZ,1301,0515
AirOne Polska,U1,1302,0516
Aviabus,U1,1303,0517
easyJet,U2,1304,0518
United Feeder Service,U2,1305,0519
Avies,U3,1306,051A
PMTair,U4,1307,051B
USA3000 Airlines,U5,1308,051C
Ural Airlines,U6,1309,051D
Northern Dene Airways,U7,1310,051E
USA Jet Airlines,U7,1311,051F
Armavia,U8,1312,0520
Tatarstan Airlines,U9,1313,0521
United Airlines,UA,1314,0522
Myanma Airways,UB,1315,0523
Hex'Air,UD,1316,0524
Nasair,UE,1317,0525
Transeuropean Airlines,UE,1318,0526
UM Airlines,UF,1319,0527
Tuninter,UG,1320,0528
US Helicopter Corporation,UH,1321,0529
Eurocypria Airlines,UI,1322,052A
AlMasria Universal Airlines,UJ,1323,052B
Air UK,UK,1324,052C
Air Vistara,UK,1325,052D
buzz,UK,1326,052E
SriLankan Airlines,UL,1327,052F
Air Zimbabwe,UM,1328,0530
Transaero Airlines,UN,1329,0531
Hong Kong Express Airways,UO,1330,0532
Bahamasair,UP,1331,0533
O'Connor Airlines,UQ,1332,0534
Skyjet Airlines,UQ,1333,0535
UTair-Express,UR,1334,0536
US Airways,US,1335,0537
UTair Aviation,UT,1336,0538
Air Austral,UU,1337,0539
UVT Aero,UW,1338,053A
Air Europa,UX,1339,053B
Cameroon Airlines,UY,1340,053C
El-Buraq Air Transport,UZ,1341,053D
Conviasa,V0,1342,053E
VIA Líneas Aéreas,V1,1343,053F
Karat,V2,1344,0540
Vision Airlines (V2),V2,1345,0541
Carpatair,V3,1346,0542
Reem Air,V4,1347,0543
Avolar Aerolineas,V5,1348,0544
Danube Wings (V5),V5,1349,0545
Royal Aruban Airline,V5,1350,0546
VIP Ecuador,V6,1351,0547
Air Senegal International,V7,1352,0548
VOLOTEA Airways,V7,1353,0549
ATRAN Cargo Airlines,V8,1354,054A
BAL Bashkirian Airlines,V9,1355,054B
Star1 Airlines,V9,1356,054C
V Australia Airlines,VA,1357,054D
Viasa,VA,1358,054E
Virgin Australia,VA,1359,054F
Birmingham European,VB,1360,0550
Pacific Express,VB,1361,0551
Ocean Airlines,VC,1362,0552
Strategic Airlines,VC,1363,0553
Voyageur Airways,VC,1364,0554
Air Libert,VD,1365,0555
Kunpeng Airlines,VD,1366,0556
SwedJet Airways,VD,1367,0557
Avensa,VE,1368,0558
EUjet,VE,1369,0559
Volare Airlines,VE,1370,055A
Valuair,VF,1371,055B
VLM Airlines,VG,1372,055C
Virgin Pacific,VH,1373,055D
Volga-Dnepr Airlines,VI,1374,055E
Jatayu Airlines,VJ,1375,055F
Royal Air Cambodge,VJ,1376,0560
Virgin Nigeria Airways,VK,1377,0561
Air VIA,VL,1378,0562
Viaggio Air,VM,1379,0563
Vietnam Airlines,VN,1380,0564
Tyrolean Airways,VO,1381,0565
VASP,VP,1382,0566
Viking Hellas,VQ,1383,0567
TACV,VR,1384,0568
Virgin Atlantic Airways,VS,1385,0569
Air Tahiti,VT,1386,056A
Air Ivoire,VU,1387,056B
Aerosvit Airlines,VV,1388,056C
Aeromar,VW,1389,056D
Virgin America,VX,1390,056E
Formosa Airlines,VY,1391,056F
Vueling Airlines,VY,1392,0570
MyTravel Airways,VZ,1393,0571
World Experience Airline,W1,1394,0572
Canadian Western Airlines,W2,1395,0573
Maastricht Airlines,W2,1396,0574
Arik Air,W3,1397,0575
World Scale Airlines,W3,1398,0576
Aero Services Executive,W4,1399,0577
AeroWorld ,W4,1400,0578
Mahan Air,W5,1401,0579
Wizz Air,W6,1402,057A
Austral Brasil,W7,1403,057B
Cargojet Airways,W8,1404,057C
Abelag Aviation,W9,1405,057D
Air Bagan,W9,1406,057E
Eastwind Airlines,W9,1407,057F
KLM Cityhopper,WA,1408,0580
Western Airlines,WA,1409,0581
Rwandair Express,WB,1410,0582
Islena De Inversiones,WC,1411,0583
Amsterdam Airlines,WD,1412,0584
DAS Air Cargo,WD,1413,0585
Centurion Air Cargo,WE,1414,0586
Thai Smile Airways,WE,1415,0587
Widerøe,WF,1416,0588
Sunwing,WG,1417,0589
Sunwing Airlines,WG,1418,058A
Worldways,WG,1419,058B
China Northwest Airlines,WH,1420,058C
China Northwest Airlines (WH),WH,1421,058D
WebJet Linhas A,WJ,1422,058E
American Falcon,WK,1423,058F
Edelweiss Air,WK,1424,0590
CheapFlyingInternational,WL,1425,0591
Windward Islands Airways,WM,1426,0592
Southwest Airlines,WN,1427,0593
World Airways,WO,1428,0594
Island Air (WP),WP,1429,0595
PanAm World Airways,WQ,1430,0596
Royal Tongan Airlines,WR,1431,0597
WestJet Encore,WR,1432,0598
WestJet,WS,1433,0599
Swiftair,WT,1434,059A
Wizz Air Ukraine,WU,1435,059B
Swe Fly,WV,1436,059C
bmibaby,WW,1437,059D
Wow Air,WW,1438,059E
CityJet,WX,1439,059F
Oman Air,WY,1440,05A0
Red Wings,WZ,1441,05A1
Nik Airways,X1,1442,05A2
TUIfly,X3,1443,05A3
Air Excursion,X4,1444,05A4
Fly Romania,X5,1445,05A5
Atlantic Air Services,X7,1446,05A6
Chitaavia,X7,1447,05A7
FRA Air,X9,1448,05A8
Islands Express,X9,1449,05A9
XAIR USA,XA,1450,05AA
NEXT Brasil,XB,1451,05AB
ExpressJet,XE,1452,05AC
Vladivostok Air,XF,1453,05AD
Calima Aviacion,XG,1454,05AE
Mesaba Airlines,XJ,1455,05AF
Corse-Mediterranee,XK,1456,05B0
Aerolane,XL,1457,05B1
Alitalia Express,XM,1458,05B2
Xpressair,XN,1459,05B3
China Xinhua Airlines,XO,1460,05B4
LTE International Airways,XO,1461,05B5
Caribbean Wings,XP,1462,05B6
XPTO,XP,1463,05B7
Xtra Airways,XP,1464,05B8
SunExpress,XQ,1465,05B9
Skywest Australia,XR,1466,05BA
SITA,XS,1467,05BB
Texas Spirit,XS,1468,05BC
Air Exel,XT,1469,05BD
African Express Airways,XU,1470,05BE
BVI Airways,XV,1471,05BF
Sky Express,XW,1472,05C0
Greenfly,XX,1473,05C1
Nas Air,XY,1474,05C2
Congo Express,XZ,1475,05C3
Yellow Air Taxi,Y0,1476,05C4
Yellowstone Club Private Shuttle,Y1,1477,05C5
Volaris,Y4,1478,05C6
Asia Wings,Y5,1479,05C7
Pace Airlines,Y5,1480,05C8
NordStar Airlines,Y7,1481,05C9
Marusya Airways,Y8,1482,05CA
Yangtze River Express,Y8,1483,05CB
Kish Air,Y9,1484,05CC
Ciel Canadien,YC,1485,05CD
Gomelavia,YD,1486,05CE
Yellowtail,YE,1487,05CF
Yangon Airways Ltd.,YH,1488,05D0
TUR Avrupa Hava YollarÄ±,YI,1489,05D1
Asian Express General Aviation Wuxi,YJ,1490,05D2
Cyprus Turkish Airlines,YK,1491,05D3
Yamal Airlines,YL,1492,05D4
Montenegro Airlines,YM,1493,05D5
Air Creebec,YN,1494,05D6
TransHolding System,YO,1495,05D7
Aero Lloyd (YP),YP,1496,05D8
Polet Airlines (Priv),YQ,1497,05D9
SENIC AIRLINES,YR,1498,05DA
Régional,YS,1499,05DB
Air Togo,YT,1500,05DC
Yeti Airways,YT,1501,05DD
Mesa Airlines,YV,1502,05DE
Air Nostrum,YW,1503,05DF
Midwest Airlines,YX,1504,05E0
Virginwings,YY,1505,05E1
LSM AIRLINES ,YZ,1506,05E2
All Argentina Express,Z0,1507,05E3
Zest Air,Z2,1508,05E4
Avient Aviation,Z3,1509,05E5
Zoom Airlines,Z4,1510,05E6
INAVIA Internacional,Z5,1511,05E7
ZABAIKAL AIRLINES,Z6,1512,05E8
ADC Airlines,Z7,1513,05E9
REDjet,Z7,1514,05EA
Zimbabwean Airlines,Z7,1515,05EB
Amaszonas,Z8,1516,05EC
Flightlink Tanzania,Z9,1517,05ED
Access Air,ZA,1518,05EE
Interavia Airlines,ZA,1519,05EF
Air Bourbon,ZB,1520,05F0
Monarch Airlines,ZB,1521,05F1
Korongo Airlines,ZC,1522,05F2
EWA Air,ZD,1523,05F3
Arcus-Air Logistic,ZE,1524,05F4
Eastar Jet,ZE,1525,05F5
Lineas Aereas Azteca,ZE,1526,05F6
Athens Airways,ZF,1527,05F7
Viva Macau,ZG,1528,05F8
Shenzhen Airlines,ZH,1529,05F9
Aigle Azur,ZI,1530,05FA
Zambezi Airlines (ZMA),ZJ,1531,05FB
Great Lakes Airlines,ZK,1532,05FC
Regional Express,ZL,1533,05FD
Apache Air,ZM,1534,05FE
Zenith International Airline,ZN,1535,05FF
Silk Way Airlines,ZP,1536,0600
Zabaykalskii Airlines,ZP,1537,0601
Annsett New Zealand (NZA),ZQ,1538,0602
Locair,ZQ,1539,0603
Sama Airlines,ZS,1540,0604
Titan Airways,ZT,1541,0605
Tomp Airlines,ZT,1542,0606
Helios Airways,ZU,1543,0607
Air Midwest,ZV,1544,0608
V Air,ZV,1545,0609
Air Wisconsin,ZW,1546,060A
Air Georgian,ZX,1547,060B
Japan Regio,ZX,1548,060C
Ada Air,ZY,1549,060D
Zz,ZZ,1550,060E
