Registration,Aircraft,Brand,Type,Age,Key,Hex
N877DN,Boeing 737-900ER,Boeing,737-900ER,7,5020,139C
N877NN,Boeing 737-823,Boeing,737-800,13,5021,139D
N877UA,Airbus A319-132,Airbus,A319-100,20,5022,139E
N8780Q,Boeing 737 MAX 8,Boeing,737 MAX 8,2,5023,139F
N8781Q,Boeing 737 MAX 8,Boeing,737 MAX 8,2,5024,13A0
N8782Q,Boeing 737 MAX 8,Boeing,737 MAX 8,2,5025,13A1
N8783L,Boeing 737 MAX 8,Boeing,737 MAX 8,2,5026,13A2
N8784Q,Boeing 737 MAX 8,Boeing,737 MAX 8,2,5027,13A3
N8785L,Boeing 737 MAX 8,Boeing,737 MAX 8,2,5028,13A4
N8786Q,Boeing 737 MAX 8,Boeing,737 MAX 8,2,5029,13A5
N8787K,Boeing 737 MAX 8,Boeing,737 MAX 8,2,5030,13A6
N8788L,Boeing 737 MAX 8,Boeing,737 MAX 8,2,5031,13A7
N8789Q,Boeing 737 MAX 8,Boeing,737 MAX 8,2,5032,13A8
N878AS,Bombardier CRJ-200,Bombardier,CRJ-200,22,5033,13A9
N878BG,Boeing 787-8 Dreamliner,Boeing,787-8,2,5034,13AA
N878DN,Boeing 737-900ER,Boeing,737-900ER,7,5035,13AB
N878NN,Boeing 737-823,Boeing,737-800,13,5036,13AC
N878RW,Embraer ERJ 170LR,Embraer,ERJ 170LR,17,5037,13AD
N878UA,Airbus A319-132,Airbus,A319-100,19,5038,13AE
N8790Q,Boeing 737 MAX 8,Boeing,737 MAX 8,2,5039,13AF
N8791D,Boeing 737 MAX 8,Boeing,737 MAX 8,2,5040,13B0
N8792Q,Boeing 737 MAX 8,Boeing,737 MAX 8,2,5041,13B1
N8793Q,Boeing 737 MAX 8,Boeing,737 MAX 8,2,5042,13B2
N8794Q,Boeing 737 MAX 8,Boeing,737 MAX 8,2,5043,13B3
N8795L,Boeing 737 MAX 8,Boeing,737 MAX 8,2,5044,13B4
N8796L,Boeing 737 MAX 8,Boeing,737 MAX 8,2,5045,13B5
N8797Q,Boeing 737 MAX 8,Boeing,737 MAX 8,1,5046,13B6
