Registration,Aircraft,Brand,Type,Age,Key,Hex
N929AA,Airbus A321-231,Airbus,A321-200,7,5578,15CA
N929AK,Boeing 737 MAX 9,Boeing,737 MAX 9,3,5579,15CB
N929AN,Boeing 737-823,Boeing,737-800,24,5580,15CC
N929AT,Boeing 717-200,Boeing,717-200,24,5581,15CD
N929DZ,Boeing 737-900ER,Boeing,737-900ER,5,5582,15CE
N929EV,Bombardier CRJ-200,Bombardier,CRJ-200,20,5583,15CF
N929JB,Airbus A321-231,Airbus,A321-200,10,5584,15D0
N929NK,Airbus A320neo,Airbus,A320neo,4,5585,15D1
N929NN,Boeing 737-823,Boeing,737-800,11,5586,15D2
N929SW,Bombardier CRJ-200,Bombardier,CRJ-200,22,5587,15D3
N929VA,Airbus A321neo,Airbus,A321neo,5,5588,15D4
N929WN,Boeing 737-7H4,Boeing,737-700,16,5589,15D5
N929XJ,Bombardier CRJ-900,Bombardier,CRJ-900,16,5590,15D6
N93003,Airbus A319-115,Airbus,A319-100,11,5591,15D7
N930AN,Boeing 737-823,Boeing,737-800,24,5592,15D8
N930AT,Boeing 717-200,Boeing,717-200,24,5593,15D9
N930AU,Airbus A321-231,Airbus,A321-200,7,5594,15DA
N930DZ,Boeing 737-900ER,Boeing,737-900ER,5,5595,15DB
N930EV,Bombardier CRJ-200LR,Bombardier,CRJ-200LR,19,5596,15DC
N930LR,Bombardier CRJ-900,Bombardier,CRJ-900,19,5597,15DD
N930NK,Airbus A320neo,Airbus,A320neo,4,5598,15DE
N930NN,Boeing 737-823,Boeing,737-800,11,5599,15DF
N930SW,Bombardier CRJ-200,Bombardier,CRJ-200,22,5600,15E0
N930VA,Airbus A321neo,Airbus,A321neo,5,5601,15E1
N930WN,Boeing 737-7H4,Boeing,737-700,15,5602,15E2
N930XJ,Bombardier CRJ-900,Bombardier,CRJ-900,16,5603,15E3
N931AE,Embraer EMB-145LR,Embraer,EMB-145LR,19,5604,15E4
N931AK,Boeing 737 MAX 9,Boeing,737 MAX 9,3,5605,15E5
N931AM,Airbus A321-231,Airbus,A321-200,7,5606,15E6
N931AN,Boeing 737-823,Boeing,737-800,24,5607,15E7
N931DQ,Boeing 737-9GPER,Boeing,737-900ER,13,5608,15E8
N931EV,Bombardier CRJ-200,Bombardier,CRJ-200,19,5609,15E9
N931NK,Airbus A320neo,Airbus,A320neo,4,5610,15EA
N931NN,Boeing 737-823,Boeing,737-800,11,5611,15EB
N931WN,Boeing 737-7H4,Boeing,737-700,15,5612,15EC
N931XJ,Bombardier CRJ-900,Bombardier,CRJ-900,16,5613,15ED
N932AE,Embraer EMB-145LR,Embraer,EMB-145LR,19,5614,15EE
N932AK,Boeing 737 MAX 9,Boeing,737 MAX 9,3,5615,15EF
N932AM,Airbus A321-231,Airbus,A321-200,7,5616,15F0
N932AN,Boeing 737-823,Boeing,737-800,24,5617,15F1
N932AT,Boeing 717-200,Boeing,717-200,24,5618,15F2
N932DZ,Boeing 737-900ER,Boeing,737-900ER,13,5619,15F3
N932EV,Bombardier CRJ-200,Bombardier,CRJ-200,19,5620,15F4
N932NN,Boeing 737-823,Boeing,737-800,11,5621,15F5
N932WN,Boeing 737-7H4,Boeing,737-700,15,5622,15F6
N932XJ,Bombardier CRJ-900,Bombardier,CRJ-900,16,5623,15F7
N93305,Embraer ERJ 175LR,Embraer,ERJ 175LR,10,5624,15F8
N933AE,No Data,No Data,No Data,0,5625,15F9
N933AK,Boeing 737 MAX 9,Boeing,737 MAX 9,2,5626,15FA
N933AM,Airbus A321-231,Airbus,A321-200,7,5627,15FB
N933AT,Boeing 717-200,Boeing,717-200,24,5628,15FC
N933DZ,Boeing 737-900ER,Boeing,737-900ER,13,5629,15FD
N933EV,Bombardier CRJ-200,Bombardier,CRJ-200,19,5630,15FE
N933JN,Embraer EMB-145LR,Embraer,EMB-145LR,19,5631,15FF
