Name,City,ISO-3166,Country,IATA,Latitude,Longitude,Key,Hex
D. Casimiro Szlapelis Airport,Alto Rio Senguer,AR,Argentina,ARR,-45.0136,-70.8122,70,0046
Comandante Espora Airport,Bahia Blanca,AR,Argentina,BHI,-38.725,-62.1693,71,0047
San Carlos De Bariloche Airport,San Carlos De Bariloche,AR,Argentina,BRC,-41.1512,-71.1575,72,0048
Corrientes Airport,Corrientes,AR,Argentina,CNQ,-27.4455,-58.7619,73,0049
Comodoro Pierrestegui Airport,Concordia,AR,Argentina,COC,-31.2969,-57.9966,74,004A
Ingeniero Ambrosio Taravella Airport,Cordoba,AR,Argentina,COR,-31.3236,-64.208,75,004B
Aviador C. Campos Airport,San Martin Des Andes,AR,Argentina,CPC,-40.0754,-71.1373,76,004C
General E. Mosconi Airport,Comodoro Rivadavia,AR,Argentina,CRD,-45.7853,-67.4655,77,004D
Brigadier D.H.E. Ruiz Airport,Colonel Suarez,AR,Argentina,CSZ,-37.4461,-61.8893,78,004E
Catamarca Airport,Catamarca,AR,Argentina,CTC,-28.5956,-65.7517,79,004F
Cutral-Co Airport,Cutralco,AR,Argentina,CUT,-38.9397,-69.2646,80,0050
El Bolson Airport,El Bolson,AR,Argentina,EHL,-41.9432,-71.5323,81,0051
El Dorado Airport,El Dorado,AR,Argentina,ELO,-26.3975,-54.5747,82,0052
El Palomar Airport,El Palomar,AR,Argentina,EPA,-34.6099,-58.6126,83,0053
Brigadier Antonio Parodi Airport,Esquel,AR,Argentina,EQS,-42.908,-71.1395,84,0054
Ministro Pistarini International Airport,Buenos Aires,AR,Argentina,EZE,-34.8222,-58.5358,85,0055
San Fernando Airport,San Fernando,AR,Argentina,FDO,-34.4532,-58.5896,86,0056
Formosa Airport,Formosa,AR,Argentina,FMA,-26.2127,-58.2281,87,0057
El Calafate Airport,El Calafate,AR,Argentina,FTE,-50.2803,-72.0531,88,0058
Gobernador Gregores Airport,Gobernador Gregores,AR,Argentina,GGS,-48.7831,-70.15,89,0059
Gualeguaychu Airport,Gualeguaychu,AR,Argentina,GHU,-33.0103,-58.6131,90,005A
Dr. Arturo H. Illia Airport,Fuerte Gral Roca,AR,Argentina,GNR,-39.0007,-67.6205,91,005B
General Pico Airport,General Pico,AR,Argentina,GPO,-35.6962,-63.7583,92,005C
Chos Malal Airport,Chosmadal,AR,Argentina,HOS,-37.4447,-70.2225,93,005D
Cabo F.A.A. H. R. Bordón Airport,Ingeniero Jacobacci,AR,Argentina,IGB,-41.3209,-69.5749,94,005E
Cataratas Del Iguazú International Airport,Iguazu Falls,AR,Argentina,IGR,-25.7373,-54.4734,95,005F
Lago Argentino Airport,El Calafate,AR,Argentina,ING,-50.3361,-72.2486,96,0060
Capitan V A Almonacid Airport,La Rioja,AR,Argentina,IRJ,-29.3816,-66.7958,97,0061
Junin Airport,Junin,AR,Argentina,JNI,-34.5459,-60.9306,98,0062
Jose De San Martin Airport,Jose de San Martin,AR,Argentina,JSM,-44.0486,-70.4589,99,0063
Gobernador Horacio Guzman International Airport,Jujuy,AR,Argentina,JUJ,-24.3928,-65.0978,100,0064
Comodoro D.R. Salomón Airport,Malargue,AR,Argentina,LGS,-35.4936,-69.5743,101,0065
Las Heras Airport,Las Heras,AR,Argentina,LHS,-46.5383,-68.9653,102,0066
La Plata Airport,La Plata,AR,Argentina,LPG,-34.9722,-57.8947,103,0067
Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,AR,Argentina,LUQ,-33.2732,-66.3564,104,0068
