ZZ,AAD,MGQ
ZZ,AIC,KWA
ZZ,AIC,MAJ
ZZ,ALQ,POA
ZZ,ANA,ASV
ZZ,ANA,WIL
ZZ,ANA,ABV
ZZ,ANA,LOS
ZZ,ARX,FOR
ZZ,AUL,KBT
ZZ,AYJ,AMD
ZZ,AYJ,BLR
ZZ,AYJ,MAA
ZZ,AYJ,DBR
ZZ,AYJ,DEL
ZZ,AYJ,JAI
ZZ,AYJ,CCU
ZZ,AYJ,BOM
ZZ,AYJ,PAT
ZZ,BCB,MGJ
ZZ,BDG,GUP
ZZ,BER,TIA
ZZ,BER,GRZ
ZZ,BER,SZG
ZZ,BER,VIE
ZZ,BER,GYD
ZZ,BER,BRU
ZZ,BER,SOF
ZZ,BER,VAR
ZZ,BER,PEK
ZZ,BER,LCA
ZZ,BER,PFO
ZZ,BER,CPH
ZZ,BER,CAI
ZZ,BER,HRG
ZZ,BER,RMF
ZZ,BER,SSH
ZZ,BER,TLL
ZZ,BER,HEL
ZZ,BER,BSL
ZZ,BER,CMF
ZZ,BER,LYS
ZZ,BER,MRS
ZZ,BER,NCE
ZZ,BER,CDG
ZZ,BER,ORY
ZZ,BER,SXB
ZZ,BER,KUT
ZZ,BER,TBS
ZZ,BER,QCB
ZZ,BER,CGN
ZZ,BER,DUS
ZZ,BER,ERF
ZZ,BER,FRA
ZZ,BER,HHN
ZZ,BER,MUC
ZZ,BER,NUE
ZZ,BER,SCN
ZZ,BER,QCP
ZZ,BER,QCS
ZZ,BER,STR
ZZ,BER,ATH
ZZ,BER,CFU
ZZ,BER,HER
ZZ,BER,RHO
ZZ,BER,SKG
ZZ,BER,BUD
ZZ,BER,KEF
ZZ,BER,EBL
ZZ,BER,DUB
ZZ,BER,TLV
ZZ,BER,BRI
ZZ,BER,BLQ
ZZ,BER,BZO
ZZ,BER,CTA
ZZ,BER,BGY
ZZ,BER,LIN
ZZ,BER,MXP
ZZ,BER,NAP
ZZ,BER,PMO
ZZ,BER,PSA
ZZ,BER,FCO
ZZ,BER,VCE
ZZ,BER,TSF
ZZ,BER,VRN
ZZ,BER,PRN
ZZ,BER,RIX
ZZ,BER,BEY
ZZ,BER,VNO
ZZ,BER,LUX
ZZ,BER,MLA
ZZ,BER,RMO
ZZ,BER,TGD
ZZ,BER,RAK
ZZ,BER,AMS
